ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Product Class,Variable Speed Compressor,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
3387785,Black+Decker,BD08NWES,,810064695360,13.5,18.6,19.6,44.1,8000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1126481_BD08NWES_01292024115535_80198615,0
3387786,Black+Decker,BD10NWES,,810064695377,13.5,18.6,19.6,46.1,10000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1126481_BD10NWES_01292024115535_80198615,0
3387787,Black+Decker,BD12NWES,,810064695384,14.6,19.1,21.8,50.7,12000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2024-01-29,2024-01-29,"United States, Canada",ES_1126481_BD12NWES_01292024115535_80198615,0
3629713,Century,RXTS-101A,,,13.5,19.2,22.0,54.0,10000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2024-09-26,2024-09-26,"United States, Canada",ES_0017771_RXTS-101A_09272024112716_80221244,0
3629714,Century,RXTS-121A,,,13.5,19.2,22.0,56.9,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2024-09-26,2024-09-26,"United States, Canada",ES_0017771_RXTS-121A_09272024112716_80221244,0
3629712,Century,RXTS-81A,,,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-09-26,2024-09-26,"United States, Canada",ES_0017771_RXTS-81A_09272024112716_80221244,0
2620624,Comfort Aire,RXTS-101A,,847283029157,13.5,19.2,22.0,54.0,10000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,500.0,0,2023-07-18,2023-07-18,"United States, Canada",ES_0017771_RXTS-101A_07272023175325_80167537,0
2620625,Comfort Aire,RXTS-121A,,847283029164,13.5,19.2,22.0,56.9,12000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,600.0,0,2023-07-18,2023-07-18,"United States, Canada",ES_0017771_RXTS-121A_07272023175325_80167537,0
2620623,Comfort Aire,RXTS-81A,,847283029171,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2023-07-18,2023-07-18,"United States, Canada",ES_0017771_RXTS-81A_07272023175325_80167537,0
3354606,Danby,DAC080B7IWDB-6,,067638029902,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2023-12-28,2023-12-18,"United States, Canada",ES_0031682_DAC080B7IWDB-6_01022024123846_80193130,0
3354607,Danby,DAC080B8IWDB-6,,067638030045,13.5,19.2,22.0,53.1,8000,115,Window,Straddles Window,1,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2023-12-28,2023-12-28,"United States, Canada",ES_0031682_DAC080B8IWDB-6_01022024123846_80193130,0
3477711,Danby,DAC080EBIBDB,,067638033152,13.5,18.6,19.6,44.1,8000,115,Window,Does Not Straddle Window or Windowsill,0,0,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1,R-32,R-32 (GWP:675 | Lower GWP),15.0,,400.0,0,2024-05-08,2024-05-08,"United States, Canada",ES_0031682_DAC080EBIBDB_05082024100453_80204879,0
