"ENERGY STAR Unique ID","ENERGY STAR Partner","Brand Name","Model Name","Model Number","Additional Model Information","UPC","Indoor/Outdoor","Product Type","Blade Span (Diameter) (in.)","Ceiling Fan Efficiency (CFM/W)","Fan Power Consumption-Low Speed (W)","Fan Power Consumption-High Speed (W)","Fan Power Consumption-Standby (W)","Ceiling Fan Features","Ceiling Fan Components Warranty (Years)","Shipped with ENERGY STAR Lamp(s)","ENERGY STAR Lamp ESUID","Alternate ENERGY STAR Lamps ESUIDs","ENERGY STAR Lamp Partner","Lamp Model Number","Light Source Technology","Total Light Output (lumens)","Total Lighting Input Power (Watts)","Lighting Efficiency – Measured outside the Fixture (lm/W)","Lighting Efficiency – Measured at the Source (lm/W)","Power Factor of Light Kit","Light Color Appearance (CCT)","Light Color Quality (CRI)","Light Source Rated Life (Hours)","Light Sources Per Light Kit","Light Source Connection/Base Type","Light Kit Dimmability","Special Lighting Features (Dimming, Motion Sensing, etc.)","Ceiling Fan Light Kit Warranty (yrs)","Connected Functionality","Connects Using","Notes","Date Available on Market","Date Certified","Markets","CB Model Identifier","Meets ENERGY STAR Most Efficient 2025 Criteria"
"2386171","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI43***",",,Each * to represent a letter or blank.","850021862015;850021862022;850021862039;850021862046;850021862053;850021862060","Indoor Ceiling Fan","Standard Fan Only","43","338","2.6","10.5","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/15/2021","United States, Canada","ES_1122596_AE+2WI43***_100420210342964_9719599","Yes"
"2385543","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI43L***",",,Each * to represent a letter or blank.","850021862015;850021862022;850021862039;850021862046;850021862053;850021862060","Indoor Ceiling Fan","Standard Fan with Light Kit","43","338","2.6","10.5","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/08/2021","United States, Canada","ES_1122596_AE+2WI43L***_100320212129901_3011261","Yes"
"2386170","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI50***",",,Each * to represent a letter or blank.","850021862077;850021862084;850021862091;850021862107;850021862114;850021862121","Indoor Ceiling Fan","Standard Fan Only","50","377","2.7","14","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/15/2021","United States, Canada","ES_1122596_AE+2WI50***_100420210346105_2817234","Yes"
"2385542","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI50L***",",,Each * to represent a letter or blank.","850021862077;850021862084;850021862091;850021862107;850021862114;850021862121","Indoor Ceiling Fan","Standard Fan with Light Kit","50","377","2.7","14","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/08/2021","United States, Canada","ES_1122596_AE+2WI50L***_100420210330214_5893703","Yes"
"2386169","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI60***",",,Each * to represent a letter or blank.","850021862138;850021862145;850021862152;850021862169;850021862176;850021862183","Indoor Ceiling Fan","Standard Fan Only","60","483","2.9","16.2","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/15/2021","United States, Canada","ES_1122596_AE+2WI60***_100420210346643_5493174","Yes"
"2385541","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI60L***",",,Each * to represent a letter or blank.","850021862138;850021862145;850021862152;850021862169;850021862176;850021862183","Indoor Ceiling Fan","Standard Fan with Light Kit","60","483","2.9","16.2","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/08/2021","United States, Canada","ES_1122596_AE+2WI60L***_10042021033087_5159747","Yes"
"2386240","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI43***",",,Each * to represent a letter or blank.","850021862190;850021862206;850021862213;850021862220;850021862237;850021862244","Indoor Ceiling Fan","Standard Fan Only","43","314","2.7","13.5","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI43***_100420210607911_3734263","Yes"
"2386231","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI43L***",",,Each * to represent a letter or blank.","850021862190;850021862206;850021862213;850021862220;850021862237;850021862244","Indoor Ceiling Fan","Standard Fan with Light Kit","43","314","2.7","13.5","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI43L***_100420210015936_2212891","Yes"
"2386241","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI50***",",,Each * to represent a letter or blank.","850021862251;850021862268;850021862275;850021862282;850021862299;850021862305","Indoor Ceiling Fan","Standard Fan Only","50","331","2.8","19.3","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI50***_100420210607864_7515674","Yes"
"2386233","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI50L***",",,Each * to represent a letter or blank.","850021862251;850021862268;850021862275;850021862282;850021862299;850021862305","Indoor Ceiling Fan","Standard Fan with Light Kit","50","331","2.8","19.3","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI50L***_100420210024710_4367683","Yes"
"2386242","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI60***",",,Each * to represent a letter or blank.","850021862312;850021862329;850021862336;850021862343;850021862350;850021862367","Indoor Ceiling Fan","Standard Fan Only","60","392","3","22.2","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI60***_100420210607250_8456410","Yes"
"2386232","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+3WI60L***",",,Each * to represent a letter or blank.","850021862312;850021862329;850021862336;850021862343;850021862350;850021862367","Indoor Ceiling Fan","Standard Fan with Light Kit","60","392","3","22.2","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/05/2021","United States, Canada","ES_1122596_AE+3WI60L***_100420210024790_8900104","Yes"
"2386497","Aeratron Pty Ltd","AERATRON","Ceiling Fan","FR3WI43***",",,Each * to represent a letter or blank.","850021862374;850021862381;850021862398;850021862404;850021862411;850021862428","Indoor Ceiling Fan","Standard Fan Only","43","272","2.7","11.5","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/18/2021","United States, Canada","ES_1122596_FR3WI43***_100420210754903_4411515","Yes"
"2386495","Aeratron Pty Ltd","AERATRON","Ceiling Fan","FR3WI43L***",",,Each * to represent a letter or blank.","850021862374;850021862381;850021862398;850021862404;850021862411;850021862428","Indoor Ceiling Fan","Standard Fan with Light Kit","43","272","2.7","11.5","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/18/2021","United States, Canada","ES_1122596_FR3WI43L_100420210201944_8468278","Yes"
"2386498","Aeratron Pty Ltd","AERATRON","Ceiling Fan","FR3WI50***",",,Each * to represent a letter or blank.","850021862435;850021862442;850021862459;850021862466;850021862473;850021862480","Indoor Ceiling Fan","Standard Fan Only","50","245","2.9","21.8","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/18/2021","United States, Canada","ES_1122596_FR3WI50***_100420210754464_6690559","No"
"2386494","Aeratron Pty Ltd","AERATRON","Ceiling Fan","FR3WI50L***",",,Each * to represent a letter or blank.","850021862435;850021862442;850021862459;850021862466;850021862473;850021862480","Indoor Ceiling Fan","Standard Fan with Light Kit","50","245","2.9","21.8","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","01/01/2022","10/18/2021","United States, Canada","ES_1122596_FR3WI50L_100420210201519_2159993","No"
"2386496","Aeratron Pty Ltd","AERATRON","Ceiling Fan","FR3WI60***",",,Each * to represent a letter or blank.","850021862497;850021862503;850021862510;850021862527;850021862534;850021862541","Indoor Ceiling Fan","Standard Fan Only","60","340","2.8","18.6","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","01/01/2022","10/18/2021","United States, Canada","ES_1122596_FR3WI60***_100420210754916_6049121","Yes"
"2400287","Carro USA Inc.","CARRO","CES525BL","CES525BL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","52","150.8","2.7","25.5","1.7","None","3 year","No",,"","Edison Opto Corporation","","","2,340","24",,,"0.9","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","03/01/2022","08/18/2022","United States","ES_1145460_CES525BL_03192022165119_1238652","No"
"2400178","Carro USA Inc.","CARRO","CES525JL","CES525JL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","52","159.1","2.9","27.2","1.8","None","3 year","No",,"","Edison Opto Corporation","","","2,340","24",,,"0.9","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","03/01/2022","08/15/2022","United States","ES_1145460_CES525JL_06292022145015_1286545","No"
"2400301","Carro USA Inc.","CARRO","CES563BL","CES563BL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","56","136.8","3","45.1","1.7","None","3 year","No",,"","Edison Opto Corporation","","","2,340","24",,,"0.9","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","03/01/2022","08/18/2022","United States","ES_1145460_CES563BL_08012022153750_4268586","No"
"2370886","Carro USA Inc.","CARRO","CES-563FL","CES-563FL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","56","190.4","2.5","32.3","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3,360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","11/01/2020","12/14/2020","United States","ES_1145460_CES-563FL_11132020105535_459234","No"
"2400292","Carro USA Inc.","CARRO","CES565B3L","CES565B3L",",CES565B6L,","","Indoor Ceiling Fan","Standard Fan with Light Kit","56","171.7","3.7","25.7","1.9","None","3 year","No",,"","Edison Opto Corporation","","","2,340","24",,,"0.9","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","03/01/2022","08/18/2022","United States","ES_1145460_CES565B3L_08012022152411_3293819","No"
"2371597","Carro USA Inc.","CARRO","CES-603FL","CES-603FL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","60","212.7","2.6","28","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3,360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","11/01/2020","01/04/2021","United States","ES_1145460_CES-603FL_11162020111343_9875643","No"
