ENERGY STAR Unique ID,ENERGY STAR Partner,Brand Name,Model Name,Model Number,Additional Model Information,UPC,Product Type,Oven Classification,Size,Heat Source Fuel Type,Input Rate (kW),Input Rate (Btu/hr),Gas Oven Convection Mode Pre-Heat Energy (Btu),Electric Oven Convection Mode Pre-Heat Energy (kWh),Convection Mode Pre-Heat Time (min),Gas Oven Steam Mode Pre-Heat Energy (Btu),Electric Oven Steam Mode Pre-Heat Energy (kWh),Steam Mode Pre-Heat Time (min),Electric Oven Convection Mode Idle Energy Rate (kW),Gas Oven Convection Mode Idle Energy Rate (Btu/hr),Gas Oven Convection Mode Electric Idle Energy Rate (kW),Gas Oven Convection Mode Total Idle Energy Rate (Btu/hr),Method of Steam Generation,Half-Size and Full-Size Steam Pan Capacity,Two-Thirds-Size Steam Pan Capacity,Half-Size Sheet Pan Capacity,Full-Size Sheet Pan Capacity,Electric Oven Steam Mode Idle Energy Rate (kW),Gas Oven Steam Mode Idle Energy Rate (Btu/hr),Gas Oven Steam Mode Electric Idle Energy Rate (kW),Gas Oven Steam Mode Total Idle Energy Rate (Btu/hr),Convection Mode Cooking Energy Efficiency (%),Steam Mode Cooking Energy Efficiency (%),Convection Mode Production Capacity (lbs/hr),Steam Mode Production Capacity (lbs/hr),Convection Mode Cooking Period Water Consumption (gal/pan),Convection Mode Idle Period Water Consumption (gal/hr/pan),Steam Mode Cooking Period Water Consumption (gal/pan),Steam Mode Idle Period Water Consumption (gal/hr/pan),Rack Oven Baking-Energy Efficiency (%),Baking Production Capacity (lbs/hr),Set-Back Idle Mode,Steam Injection Period Water Consumption (gal/min),Date Available on Market,Date Certified,Markets,CB Model Identifier
3942789,"Alto-Shaam, Inc.",Alto-Shaam,CTP10-20G,CTP10-20G,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Gas,,132802.0,9411.0,,7.5,5362.0,,2.3,,6355.0,0.62,8471.0,Boiler-less/Spritzer/Injector,22.0,,,22.0,,9059.0,0.56,10969.0,64.0,51.0,239.0,312.0,0.03,0.01,0.14,0.03,,,,,2024-12-31,2024-12-09,"United States, Canada",ES_1017906_CTP10-20G_01162025160589_4511278
3722150,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Classic,CTC20-10G,CTC20-10G,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,153023.0,13106.0,,5.5,7568.0,,3.4,,6552.0,1.12,10375.0,Boiler-less/Spritzer/Injector,20.0,,,20.0,,8460.0,0.71,10883.0,64.0,55.0,241.0,323.0,0.01,,0.33,0.2,,,,,2024-11-05,2024-10-29,"United States, Canada",ES_1017906_CTC20-10G_110420241754982_6404236
3722082,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Classic,CTC20-20E,CTC20-20E,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,76400.0,,,3.0,2.68,,3.0,2.93,3.43,,,,Boiler-less/Spritzer/Injector,40.0,,,40.0,3.45,,,,87.0,74.0,370.0,712.0,0.27,,0.12,0.11,,,,,2024-11-01,2024-10-21,"United States, Canada",ES_1017906_CTC20-20E_103120241848149_2429147
2407803,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Classic,CTP20-20G,CTP20-20G,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,266000.0,14770.0,,4.02,16034.0,,4.55,,9215.0,0.65,9790.0,Boiler-less/Spritzer/Injector,40.0,,,40.0,,9397.0,0.21,14525.0,63.0,57.0,432.0,591.0,0.02,0.08,0.12,0.3,,,,,2023-02-01,2023-02-02,"United States, Canada",ES_1017906_CTP20-20G_12302016142007_7607471
2407802,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTC20-20G,CTC20-20G,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,266000.0,14770.0,,4.02,16034.0,,4.55,,9215.0,0.65,9790.0,Boiler-less/Spritzer/Injector,40.0,,,40.0,,9397.0,0.21,14525.0,63.0,57.0,432.0,591.0,0.02,0.08,0.12,0.3,,,,,2023-02-01,2023-02-02,"United States, Canada",ES_1017906_CTC20-20G_020120232003723_8914044
3626798,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP10-10G,CTP10-10G,,,Combination,"Type I - Table, countertop, and stand mounted units",Half-size,Gas,,79985.0,7774.0,,6.3,5784.0,,4.2,,4818.0,0.62,6933.0,Boiler-less/Spritzer/Injector,,,11.0,,,6266.0,0.54,8123.0,60.0,43.0,130.0,182.0,0.0,0.0,0.27,0.36,,,,,2024-09-01,2024-08-28,"United States, Canada",ES_1017906_CTP10-10G_082920241707337_4954330
3722083,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP10-20E,CTP10-20E,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,36809.0,,,1.0,2.38,,1.0,2.37,2.01,,,,Boiler-less/Spritzer/Injector,22.0,,,22.0,3.27,,,,85.0,62.0,201.0,276.0,0.23,,0.15,0.18,,,,,2024-11-01,2024-10-21,"United States, Canada",ES_1017906_CTP10-20E_103120241849230_7483002
3722149,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP20-10G,CTP20-10G,,,Combination,Type II - Floor and roll-in units,Full-size,Gas,,153023.0,13106.0,,5.5,7568.0,,3.4,,6552.0,1.12,10375.0,Boiler-less/Spritzer/Injector,20.0,,,20.0,,8460.0,0.71,10883.0,64.0,55.0,241.0,323.0,0.01,,0.33,0.2,,,,,2024-11-05,2024-10-29,"United States, Canada",ES_1017906_CTP20-10G_110420241754760_8680898
3722084,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP20-20E,CTP20-20E,,,Combination,Type II - Floor and roll-in units,Full-size,Electric,76400.0,,,3.0,2.68,,3.0,2.93,3.43,,,,Boiler-less/Spritzer/Injector,40.0,,,40.0,3.45,,,,87.0,74.0,370.0,712.0,0.27,,0.12,0.11,,,,,2024-11-01,2024-10-21,"United States, Canada",ES_1017906_CTP20-20E_103120241848262_2306748
3626799,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP6-10G,CTP6-10G,,,Combination,"Type I - Table, countertop, and stand mounted units",Half-size,Gas,,49349.0,5649.0,,11.1,3403.0,,4.2,,4725.0,0.21,5428.0,Boiler-less/Spritzer/Injector,,,7.0,,,4898.0,0.29,5901.0,58.0,41.0,64.0,113.0,0.04,0.2,0.29,0.85,,,,,2024-09-01,2024-08-28,"United States, Canada",ES_1017906_CTP6-10G_082920241707583_5210956
2407806,"Alto-Shaam, Inc.",Alto-Shaam - Prodigi Pro,CTP7-20E,CTP7-20E,,,Combination,"Type I - Table, countertop, and stand mounted units",Full-size,Electric,25.5,,,1.0,2.97,,1.0,3.58,1.66,,,,Boiler-less/Spritzer/Injector,16.0,,,16.0,2.53,,,,83.0,67.0,161.0,145.0,0.17,0.0,0.07,0.02,,,,,2023-02-01,2023-02-02,"United States, Canada",ES_1017906_CTP7-20E_02112015164734_3254873
