ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Type,Product Class,Defrost Type,Compact,Built-in,Thru the Door Dispenser,Ice Maker,Counter Depth,Height (in),Width (in),Capacity (Total Volume) (ft3),Adjusted Volume (ft3),Annual Energy Use (kWh/yr),US Federal Standard (kWh/yr),Percent Less Energy Use than US Federal Standard,Refrigerant Type,Refrigerant with GWP,Connected Functionality,Connects Using,Connected Functionality Tested,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2025 Criteria
4437357,Avanti,FFFD22IWR3S,",,Brand Name: AVANTI",079841170326,Bottom Freezer,5I - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,Automatic,0,0,0,1,0,70.3,36.0,22.4,27.7,590,646.0,,,,0,,,,,2023-11-22,2025-06-12,"United States, Canada",ES_1131312_FFFD22IWR3S_061220250239958_4897958,0
2378190,Avanti,MCR74V**,"MCR74V0W,MCR74V0W,; MCR74V1B,MCR74V1B,; MCR74V3S,MCR74V3S,",,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,56.0,21.3,7.4,8.5,345,386.0,,,,0,,,,,2021-05-20,2021-05-21,"United States, Canada",ES_92257_MCR74V**_051920211117151_2009039,0
4005836,Arctic Chef,ACFR321-WHITE-6COM,",ACFR321-BLUE-AMZ,",058465793975;058465796594,Compact Refrigerator,11A - Compact All-Refrigerator - manual defrost,Manual,1,0,0,0,0,33.3,17.8,3.1,3.1,215,243.0,,,,0,,,,,2025-03-18,2025-03-26,United States,ES_1120898_ACFR321-WHITE-6COM_03192025140516_1636468,0
3998088,Arctic King,ARB47B5***,",,* can be replaced by A to Z or 1 to 9 denotes products with features, which do not have an effect on energy performance",840296514832,Compact Refrigerator,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,1,0,0,0,0,48.8,18.5,4.7,5.8,333,370.0,,,,0,,0.0,,,2025-02-15,2025-02-18,"United States, Canada",ES_1030337_ARB47B5***_021820250324157_6462242,0
3701804,Arctic Wind,ATM**212E,",,*: could be from 0 to 9 or from A to Z or blank to represent different in unit color",696807240048,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,0,0,0,0,0,67.0,30.0,20.5,25.0,390,435.0,,R-600a,R-600a (GWP:3 | Lower GWP),0,,,,,2024-10-08,2024-10-09,United States,ES_1121980_ATM**212E_100920240139513_9300528,1
3618367,Avallon,AWC152DPRGLH,",AWC152DBLSS,; ,AWC152DPRGRH,; ,AWC152DZLH,; ,AWC152DZRH,",846844013307;852017005697;852017005703;852017005901;852017005918,Compact Cooler,3 - Freestanding Compact Cooler,,1,0,0,0,0,34.1,15.0,3.1,3.1,143,180.0,,,,0,,,,,2022-05-13,2024-08-06,"United States, Canada",ES_1092191_AWC152DPRGLH_08062024114908_2859918,0
3618365,Avallon,AWC152SPRGLH,",AWC152SBLSS,; ,AWC152SPRGRH,; ,AWC152SZLH,; ,AWC152SZRH,",852017005499;852017005710;852017005727;852017005925;852017005932,Compact Cooler,3 - Freestanding Compact Cooler,,1,0,0,0,0,34.1,15.0,3.4,3.4,144,183.0,,,,0,,,,,2022-05-13,2024-08-06,"United States, Canada",ES_1092191_AWC152SPRGLH_08062024114112_2185022,0
3618368,Avallon,AWC242DPRSLH,",AWC242DBLSS,; ,AWC242DPRGLH,; ,AWC242DPRGRH,; ,AWC242DPRSRH,; ,AWC242DZLH,; ,AWC242DZRH,",846844013284;846844013291;846844013314;852017005659;852017005666;852017005864;852017005871,Compact Cooler,3 - Freestanding Compact Cooler,,1,0,0,0,0,34.1,23.8,5.4,5.4,157,198.0,,,,0,,,,,2022-05-13,2024-08-06,"United States, Canada",ES_1092191_AWC242DPRSLH_08062024115038_644647,0
3618369,Avallon,AWC242FDPRG,",AWC242FD,; ,AWC242FDBLSS,",852017005529;852017005734;852017005956,Compact Cooler,3 - Freestanding Compact Cooler,,1,0,0,0,0,34.1,23.8,5.2,5.2,156,197.0,,,,0,,,,,2022-05-13,2024-08-06,"United States, Canada",ES_1092191_AWC242FDPRG_08062024115215_5921289,0
3618371,Avallon,AWC242SPRGLH,",AWC242SBLSS,; ,AWC242SPRGRH,; ,AWC242SZLH,; ,AWC242SZRH,",852017005512;852017005673;852017005680;852017005888;852017005895,Compact Cooler,3 - Freestanding Compact Cooler,,1,0,0,0,0,34.1,23.8,5.8,5.8,160,202.0,,,,0,,,,,2022-05-13,2024-08-06,"United States, Canada",ES_1092191_AWC242SPRGLH_08062024114501_3775293,0
