"ENERGY STAR Unique ID","Brand Name","Model Number","Additional Model Information","UPC","Height (inches)","Width (inches)","Depth (inches)","Weight (lbs)","Cooling Capacity (Btu/hr)","Voltage (volts)","Type","Installation Mounting Type","Support Bracket","Heating Mode","Casement Window","Product Class","Variable Speed Compressor","Refrigerant Type","Refrigerant with GWP","Combined Energy Efficiency Ratio (CEER)","Percent Less Energy Use than US Federal Standard","Annual Energy Use (kWh/yr)","Connected Capable","Connects Using","Communication Hardware Architecture","DR Protocol","Primary Communication Module/Device Brand Name and Model Number","Network Security Standards","Network Standby Power (watts)","Is Broadband Internet Connection Needed for Demand Response?","Direct on-premises Open-standard Based Interconnection","Date Available On Market","Date Certified","Markets","CB Model Identifier","Meets ENERGY STAR Most Efficient 2025 Criteria"
"3387785","BLACK+DECKER","BD08NWES","","810064695360","13.5","18.6","19.6","44.1","8,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","01/29/2024","01/29/2024","United States, Canada","ES_1126481_BD08NWES_01292024115535_80198615","No"
"3387786","BLACK+DECKER","BD10NWES","","810064695377","13.5","18.6","19.6","46.1","10,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","01/29/2024","01/29/2024","United States, Canada","ES_1126481_BD10NWES_01292024115535_80198615","No"
"3387787","BLACK+DECKER","BD12NWES","","810064695384","14.6","19.1","21.8","50.7","12,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","01/29/2024","01/29/2024","United States, Canada","ES_1126481_BD12NWES_01292024115535_80198615","No"
"3629713","Century","RXTS-101A","","","13.5","19.2","22","54","10,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","09/26/2024","09/26/2024","United States, Canada","ES_0017771_RXTS-101A_09272024112716_80221244","No"
"3629714","Century","RXTS-121A","","","13.5","19.2","22","56.9","12,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","09/26/2024","09/26/2024","United States, Canada","ES_0017771_RXTS-121A_09272024112716_80221244","No"
"3629712","Century","RXTS-81A","","","13.5","19.2","22","53.1","8,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","09/26/2024","09/26/2024","United States, Canada","ES_0017771_RXTS-81A_09272024112716_80221244","No"
"3943256","Comfort Aire","RADS-253R03",",,Dual voltage 230/208","0847283040190","17.9","23.6","25.4","103","24,000","230","Window","Does Not Straddle Window or Windowsill","No","No","None","5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","13.3","41%","1,353","No","","","","","",,"","","01/23/2025","01/23/2025","United States, Canada","ES_0017771_RADS-253R03_01232025093811_80241011","No"
"2620624","Comfort Aire","RXTS-101A","","847283029157","13.5","19.2","22","54","10,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","07/18/2023","07/18/2023","United States, Canada","ES_0017771_RXTS-101A_07272023175325_80167537","No"
"2620625","Comfort Aire","RXTS-121A","","847283029164","13.5","19.2","22","56.9","12,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","07/18/2023","07/18/2023","United States, Canada","ES_0017771_RXTS-121A_07272023175325_80167537","No"
"2620623","Comfort Aire","RXTS-81A","","847283029171","13.5","19.2","22","53.1","8,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","07/18/2023","07/18/2023","United States, Canada","ES_0017771_RXTS-81A_07272023175325_80167537","No"
"3354606","Danby","DAC080B7IWDB-6","","067638029902","13.5","19.2","22","53.1","8,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","12/28/2023","12/18/2023","United States, Canada","ES_0031682_DAC080B7IWDB-6_01022024123846_80193130","No"
"3354607","Danby","DAC080B8IWDB-6","","067638030045","13.5","19.2","22","53.1","8,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","12/28/2023","12/28/2023","United States, Canada","ES_0031682_DAC080B8IWDB-6_01022024123846_80193130","No"
"3477711","Danby","DAC080EBIBDB","","067638033152","13.5","18.6","19.6","44.1","8,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","05/08/2024","05/08/2024","United States, Canada","ES_0031682_DAC080EBIBDB_05082024100453_80204879","No"
"3354608","Danby","DAC100B8IWDB-6","","067638030069","13.5","19.2","22","54","10,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","12/28/2023","12/28/2023","United States, Canada","ES_0031682_DAC100B8IWDB-6_01022024123846_80193130","No"
"3354609","Danby","DAC120ECBIWDB","","067638031943","14.7","21.7","19","50.9","12,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","12/28/2023","12/28/2023","United States, Canada","ES_0031682_DAC120ECBIWDB_01022024123846_80193130","No"
"3477712","Danby","DAC140EBIBDB","","067638033176","14.7","21.7","19","56","14,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","40%","700","No","","","","","",,"","","05/08/2024","05/08/2024","United States, Canada","ES_0031682_DAC140EBIBDB_05082024100453_80204879","No"
"3417923","DELLA","048-TL-W10KI","","192928042535","13.4","20.7","19.3","57.8","10,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","02/28/2024","03/04/2024","United States, Canada","ES_1141693_048-TL-W10KI_02292024172105_3444940","No"
"3463021","DELLA","048-TL-W10KI","","192928042535","13.4","20.7","19.3","57.8","10,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","02/28/2024","04/29/2024","United States, Canada","ES_1141693_048-TL-W10KI_04282024093553_436365","No"
"3417922","DELLA","048-TL-W12KI","","192928042542","13.4","20.7","19.3","58.6","12,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","02/28/2024","03/04/2024","United States, Canada","ES_1141693_048-TL-W12KI_02292024172626_4044153","No"
"3463022","DELLA","048-TL-W12KI","","192928042542","13.4","20.7","19.3","58.6","12,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","02/28/2024","04/29/2024","United States, Canada","ES_1141693_048-TL-W12KI_04282024094116_3658105","No"
"3943309","Hisense","AHLW1225TW1W",",AWUS1225TW,","810088369933;850072177014","14.6","20.3","20.7","55.1","12,000","115","Window","Straddles Window","Yes","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","600","No","","","","","",,"","","12/11/2024","12/05/2024","United States","ES_1115137_AHLW1225TW1W_12192024133734_6841546","No"
"3425482","Hisense","AHW0823TW1W",",AW0823TW1W,; ,WCT08W25A,","810088361722;810088366352;810088367922","13.2","18.5","18.9","44.5","8,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","400","No","","","","","",,"","","03/27/2024","04/02/2024","United States","ES_1115137_AHW0823TW1W_03292024101816_7505761","No"
"3543865","Hisense","AW1023TW1W","","810088361739","13.2","18.5","18.9","46.3","10,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","38%","500","No","","","","","",,"","","06/19/2024","06/21/2024","United States","ES_1115137_AW1023TW1W_06192024192544_5925409","No"
"3543867","Hisense","AW1422TW1W","","819130029542","14.6","18.9","21.5","58.9","14,000","115","Window","Does Not Straddle Window or Windowsill","No","No","None","4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h","Yes","R-32","R-32 (GWP:675 | Lower GWP)","15","40%","700","No","","","","","",,"","","06/19/2024","06/21/2024","United States","ES_1115137_AW1422TW1W_06192024194426_3280450","No"
